Bad ID,Good ID,Bad Sentence,Good Sentence,Bad Sentence Gold Judgment,Bad Sentence LS,Good Sentence LS,Bad Sentence ME,Good Sentence ME,Bad Sentence FC Mean
32.1.martin.20a.*.01,32.1.martin.20a.g.01,He seems to that Kim solved the problem.,It seems to him that Kim solved the problem.,*,-1.0246537401666667,0.8223392831538462,-0.9999402436923077,0.5108199044615385,0.23076923076923078
32.1.martin.20a.*.02,32.1.martin.20a.g.02,They appear to that Chris is the right person for the job.,It appears to them that Chris is the right person for the job.,*,-1.018399355,0.7998464202727273,-0.9751100447692308,0.948523551,0
32.1.martin.20a.*.03,32.1.martin.20a.g.03,She seems to that Garrett should be punished for lying.,It seems to her that Garrett should be punished for lying.,*,-0.4768971867272727,1.0680094353076923,-0.8498163315384616,0.8250877999230769,0
32.1.martin.20a.*.04,32.1.martin.20a.g.04,I appear to that Dana is an unsafe driver.,It appears to me that Dana is an unsafe driver.,*,-1.4410361374615384,1.0239189464615386,-1.5283930963846155,1.2923129371666666,0.07692307692307693
32.1.martin.20a.*.05,32.1.martin.20a.g.05,I seem to that Robert can't be trusted.,It seems to me that Robert can't be trusted.,*,-0.8679632787692307,1.4098196122307691,-1.1139771300833332,1.257756275923077,0
32.1.martin.20a.*.06,32.1.martin.20a.g.06,She appears to that Kyle cheated on his homework.,It appears to her that Kyle cheated on his homework.,*,-1.1544049165384616,0.9426309356923077,-1.0072505232307691,0.6102212004615385,0
32.1.martin.20a.*.07,32.1.martin.20a.g.07,They seem to that Sandra hates cooking.,It seems to them that Sandra hates cooking.,*,-0.8953317091538462,0.8114293352307692,-1.2068238532307691,0.5897735087272727,0
32.1.martin.20a.*.08,32.1.martin.20a.g.08,He appears to that Erin enjoys swimming.,It appears to him that Erin enjoys swimming.,*,-1.0401463833076923,0.8399075380769231,-1.1038073295454545,0.6543976389230769,0.15384615384615385
32.1.martin.28b.??.01,32.1.martin.27b.g.01,Sarah convinced Bill that he would have gone to the party by the time he goes to bed this evening.,Sarah convinced Bill that he will have gone to the party by the time he goes to bed this evening.,??,-0.48178654515384617,-0.5019858144615384,-0.27658699792307695,-0.31325417558333335,0.46153846153846156
32.1.martin.28b.??.02,32.1.martin.27b.g.02,Celia convinced Brad that he would have eaten dinner by the time she gets home.,Celia convinced Brad that he will have eaten dinner by the time she gets home.,??,0.09357503584615384,0.1761573316923077,-0.06833909916666665,0.027970468749999994,0.5384615384615384
32.1.martin.28b.??.03,32.1.martin.27b.g.03,Benny convinced Cindy that she would have gotten dressed by the time he wakes up.,Benny convinced Cindy that she will have gotten dressed by the time he wakes up.,??,-0.0744004826923077,-0.13161667561538462,-0.34456929266666664,-0.2772108656923077,0.15384615384615385
32.1.martin.28b.??.04,32.1.martin.27b.g.04,Cameron convinced Velma that she would have finished her coffee by the time the place closes.,Cameron convinced Velma that she will have finished her coffee by the time the place closes.,??,0.34097420146153845,0.5182016516363637,0.25900095015384617,0.4323653296666667,0.38461538461538464
32.1.martin.28b.??.05,32.1.martin.27b.g.05,Judy convinced Edith that she would have forgotten about Rick by the time Christmas comes around.,Judy convinced Edith that she will have forgotten about Rick by the time Christmas comes around.,??,0.42728001616666667,0.7450489697692307,0.2877252529166667,0.3962228462307692,0.23076923076923078
32.1.martin.28b.??.06,32.1.martin.27b.g.06,Jan convinced Emile that he would have gotten better by the time he has to go to school.,Jan convinced Emile that he will have gotten better by the time he has to go to school.,??,0.17837062776923077,0.18310771075,0.06250182523076922,-0.06054202266666665,0.3076923076923077
32.1.martin.28b.??.07,32.1.martin.27b.g.07,The father convinced the mother that she would have forgiven her daughter by the time she comes home for a visit.,The father convinced the mother that she will have forgiven her daughter by the time she comes home for a visit.,??,-0.25319697775,0.1793690673076923,0.1573790725833333,-0.09483986738461539,0.07692307692307693
